,Datum,Lufttemperatur,Regen in 1 h,Regen in 24 h,Regen in 48 h,Anzahl Stationen,Anzahl Messungen
0,2020-04-02,15.74,0.0,0.0,0.6,1,1
1,2020-04-16,6.6333,0.0,0.0,0.0,1,1
2,2020-04-18,13.27,0.0,0.0,0.0,1,1
3,2020-04-20,19.84288235294118,0.0,0.0,0.0,6,85
4,2020-04-21,15.240243055555547,0.0,0.0,0.0,6,144
5,2020-04-22,17.294299999999996,0.0,0.0,0.0,6,150
6,2020-04-23,17.623967605633794,0.0,0.0,0.0,6,142
7,2020-04-24,18.095729166666665,0.0,0.0,0.0,6,144
8,2020-04-25,18.340729166666666,0.005555555555555694,0.24305555555556616,0.24305555555556616,6,144
9,2020-04-26,16.159201388888885,0.0027777777777776387,0.10555555555555779,0.3555555555555698,6,144
10,2020-04-27,17.832545890410962,0.0013698630136973972,0.32054794520545227,0.4356164383561402,8,146
11,2020-04-28,15.16349025974026,0.10259740259740299,4.702597402597407,5.1597402597402455,15,154
12,2020-04-29,13.58772808219178,0.04246575342465616,8.089041095890417,12.895890410958904,10,146
13,2020-04-30,11.993272262773727,0.04671532846715096,2.4277372262773653,11.131386861313871,6,137
14,2020-05-01,11.587368275862065,0.03862068965517248,1.6772413793103376,4.095172413793095,6,145
15,2020-05-02,11.149765492957748,0.09154929577464781,2.4281690140845122,4.119718309859154,7,142
16,2020-05-03,12.804385714285722,0.0,1.215037593984947,3.658646616541354,6,133
17,2020-05-04,17.22274305555555,0.0,0.0,1.344444444444444,6,144
18,2020-05-05,12.25257448275862,0.20413793103448274,1.1213793103448277,1.1213793103448277,6,145
19,2020-05-06,13.983918055555556,0.0,4.929166666666666,6.143055555555549,7,144
20,2020-05-07,22.263410526315827,0.014404432132963992,0.16329639889196668,3.731301939058144,100,1444
21,2020-05-08,19.698799785223343,0.0011168384879725085,0.0776632302405498,0.31752577319587605,101,2328
22,2020-05-09,21.832746739130407,0.0005217391304347827,0.05313043478260865,0.1300869565217392,101,2300
23,2020-05-10,21.48703527620705,0.0033927794693344934,0.1852109612875155,0.2410613310134841,101,2299
24,2020-05-11,11.668540757439123,0.49477006311993305,6.465013525698822,6.661226330027041,100,2218
25,2020-05-12,10.125200088849413,0.03154153709462463,9.011728120835194,15.428609506885833,101,2251
26,2020-05-13,9.323912684234008,0.3315319338990626,3.201607860652082,12.10522554711923,100,2239
27,2020-05-14,10.286313625971683,0.10214906264288975,11.077732053040663,14.409876543209847,95,2187
