,Date,Total,MR,PW,PW+,Lief,Lief+,Lief+Aufl.,LW,LW+,Sattelzug,Bus,andere,Station Count,Number of Measurments
0,01.01.2019,203861,2482,191182,62,6203,33,15,393,40,154,3165,132,32,1632
1,01.01.2020,204091,2464,189573,65,7834,42,22,537,104,98,3188,164,32,1584
2,01.01.2021,120411,1721,111778,26,4080,13,1,231,69,156,2312,24,32,1536
3,01.02.2019,430359,6465,374977,282,32252,383,273,7225,842,2819,4478,363,32,1608
4,01.02.2020,342801,5861,315812,336,13935,130,58,1455,283,664,4124,143,32,1584
5,01.02.2021,289054,5399,240289,183,28511,429,213,5923,843,3188,3883,193,32,1512
6,01.03.2019,442849,8927,383723,358,33251,516,197,7259,918,2855,4519,326,32,1584
7,01.03.2020,234440,4723,217790,142,7856,55,17,461,113,170,3058,55,32,1584
8,01.03.2021,306133,9766,252000,343,28363,451,197,6689,896,3354,3878,196,32,1512
9,01.04.2019,398267,15180,332785,313,31525,495,275,7675,1054,3467,5046,452,32,1584
10,01.04.2020,219446,7597,176006,204,22720,411,198,5851,667,2740,2905,147,32,1584
11,01.04.2021,327455,13288,271541,404,27385,471,203,6048,986,3203,3690,236,32,1512
12,01.05.2019,251952,10027,225814,224,9983,161,44,1229,435,493,3321,221,32,1536
13,01.05.2020,125272,3355,111636,100,6394,75,8,885,145,301,2332,41,32,1536
14,01.05.2021,210109,3143,194044,163,8855,61,7,809,129,281,2539,78,32,1536
15,01.06.2019,309982,12493,277028,456,13004,188,57,1650,395,727,3673,311,32,1536
16,01.06.2020,158661,8499,141197,70,5753,26,4,514,121,169,2195,113,32,1512
17,01.06.2021,363799,17841,297531,403,31339,551,218,7339,1088,3612,3581,296,32,1536
18,01.07.2019,383542,17948,315606,612,32209,532,268,7524,1056,3319,3978,490,32,1560
19,01.07.2020,342909,17554,281900,423,27873,532,196,6954,929,2939,3349,260,32,1512
20,01.07.2021,403463,15025,337089,488,33618,576,207,7552,889,3701,4045,273,32,1536
